,Klaskino_BC,Barkeley_BC,Ladysmith_BC,Victoria_BC,Discover_WA,Liberty_WA,TritonCove_WA,NorthBay_WA,Willapa_WA,Netarts_OR,Yaquina_OR,Coos_OR,Humboldt_CA,Tomales_CA,NorthSanFran_CA,SouthSanFran_CA,Elkhorn_CA,MuguLagoon_CA,SanDiego_CA
Klaskino_BC,,317,610,489,551,615,621,713,598,719,816,969,1281,1615,1701,1716,1837,2304,2599
Barkeley_BC,317,,300,202,256,320,326,418,311,432,529,682,994,1328,1414,1429,1550,2017,2312
Ladysmith_BC,610,300,,114,151,215,221,131,442,563,660,813,1125,1459,1545,1560,1681,2148,2443
Victoria_BC,489,202,114,,70,134,140,232,344,465,562,699,1011,1345,1431,1446,1567,2034,2329
Discover_WA,551,256,151,70,,104,110,202,396,517,614,751,1063,1397,1483,1498,1619,2086,2381
Liberty_WA,615,320,215,134,104,,106,133,460,581,678,815,1127,1461,1547,1562,1683,2150,2445
TritonCove_WA,621,326,221,140,110,106,,205,466,587,684,821,1133,1467,1553,1568,1689,2156,2451
NorthBay_WA,713,418,131,232,202,133,205,,558,679,776,913,1225,1559,1645,1660,1781,2248,2543
Willapa_WA,598,311,442,344,396,460,466,558,,165,262,415,727,1061,1147,1162,1283,1750,2045
Netarts_OR,719,432,563,465,517,581,587,679,165,,113,266,578,912,983,998,1119,1601,1896
Yaquina_OR,816,529,660,562,614,678,684,776,262,113,,177,489,823,894,909,1030,1512,1807
Coos_OR,969,682,813,699,751,815,821,913,415,266,177,,362,696,782,797,903,1385,1680
Humboldt_CA,1281,994,1125,1011,1063,1127,1133,1225,727,578,489,362,,368,454,469,590,1057,1352
Tomales_CA,1615,1328,1459,1345,1397,1461,1467,1559,1061,912,823,696,368,,115,130,251,718,1028
NorthSanFran_CA,1701,1414,1545,1431,1483,1547,1553,1645,1147,983,894,782,454,115,,30,170,637,932
SouthSanFran_CA,1716,1429,1560,1446,1498,1562,1568,1660,1162,998,909,797,469,130,30,,155,622,917
Elkhorn_CA,1837,1550,1681,1567,1619,1683,1689,1781,1283,1119,1030,903,590,251,170,155,,483,778
MuguLagoon_CA,2304,2017,2148,2034,2086,2150,2156,2248,1750,1601,1512,1385,1057,718,637,622,483,,299
SanDiego_CA,2599,2312,2443,2329,2381,2445,2451,2543,2045,1896,1807,1680,1352,1028,932,917,778,299,
